log_file,data_path,model_id,seq_len,pred_len,d_model,d_ff,e_layers,batch_size,learning_rate,m_dim,tau,k,stopped_epoch,mse,mae
WTH_sl96_pl96.log,WTH.csv,WTH_sl96_pl96,96,96,128,128,2,64,0.0001,3,1,1,16,0.4945600628852844,0.47521695494651794
WTH_sl96_pl720.log,WTH.csv,WTH_sl96_pl720,96,720,128,128,2,64,0.0001,3,1,1,17,0.641448974609375,0.5717020034790039
WTH_sl96_pl192.log,WTH.csv,WTH_sl96_pl192,96,192,128,128,2,64,0.0001,3,1,1,11,0.5608909726142883,0.5198578238487244
WTH_sl96_pl336.log,WTH.csv,WTH_sl96_pl336,96,336,128,128,2,64,0.0001,3,1,1,14,0.5932084321975708,0.5418782234191895
WTH_sl336_pl96.log,WTH.csv,WTH_sl336_pl96,336,96,512,512,2,64,0.0001,3,1,3,4,0.48088592290878296,0.47217032313346863
WTH_sl336_pl720.log,WTH.csv,WTH_sl336_pl720,336,720,512,512,2,64,0.0001,3,1,3,4,0.5992565155029297,0.5477510094642639
WTH_sl336_pl336.log,WTH.csv,WTH_sl336_pl336,336,336,512,512,2,64,0.0001,3,1,3,5,0.5551618933677673,0.5232148170471191
WTH_sl336_pl192.log,WTH.csv,WTH_sl336_pl192,336,192,512,512,2,64,0.0001,3,1,3,4,0.5290810465812683,0.5098820924758911
ETTm1_sl336_pl96_Ablation.log,ETTm1.csv,ETTm1_sl336_pl96_Ablation,336,96,512,1024,2,64,0.0004,3,4,5,10,0.32563886046409607,0.3575126528739929
ETTh1_sl96_pl96_Ablation.log,ETTh1.csv,ETTh1_sl96_pl96_Ablation,96,96,256,512,2,64,0.0006,3,1,3,7,0.3798506557941437,0.39677879214286804
ETTh2_sl512_pl96_Ablation.log,ETTh2.csv,ETTh2_sl512_pl96_Ablation,512,96,256,512,2,64,0.0006,3,1,3,14,0.32020658254623413,0.36321356892585754
ETTm2_sl512_pl96_Ablation.log,ETTm2.csv,ETTm2_sl512_pl96_Ablation,512,96,512,1024,2,64,0.0004,3,4,5,15,0.17894858121871948,0.26212939620018005
ETTh1_sl336_pl96_Ablation.log,ETTh1.csv,ETTh1_sl336_pl96_Ablation,336,96,256,512,2,64,0.0006,3,1,3,8,0.39116907119750977,0.4089997112751007
ETTm1_sl96_pl192_FairBench.log,ETTm1.csv,ETTm1_sl96_pl192_FairBench,96,192,256,512,2,64,0.0004,3,4,3,10,0.38025301694869995,0.3922997713088989
ETTh2_sl96_pl96_Ablation.log,ETTh2.csv,ETTh2_sl96_pl96_Ablation,96,96,256,512,2,64,0.0006,3,1,3,8,0.3019748330116272,0.3457370400428772
ETTh1_sl96_pl336_FairBench.log,ETTh1.csv,ETTh1_sl96_pl336_FairBench,96,336,256,512,2,64,0.0006,3,1,3,6,0.48942261934280396,0.4620739221572876
ETTh2_sl336_pl96_Ablation.log,ETTh2.csv,ETTh2_sl336_pl96_Ablation,336,96,256,512,2,64,0.0006,3,1,3,11,0.3125000596046448,0.3581877648830414
ETTm2_sl96_pl192_FairBench.log,ETTm2.csv,ETTm2_sl96_pl192_FairBench,96,192,256,512,2,64,0.0004,3,4,3,8,0.25443020462989807,0.3116108179092407
ETTm1_sl512_pl96_Ablation.log,ETTm1.csv,ETTm1_sl512_pl96_Ablation,512,96,512,1024,2,64,0.0004,3,4,5,7,0.30717048048973083,0.356151819229126
ETTh2_sl96_pl336_FairBench.log,ETTh2.csv,ETTh2_sl96_pl336_FairBench,96,336,256,512,2,64,0.0006,3,1,3,12,0.4809757173061371,0.4539259374141693
ETTm2_sl96_pl336_FairBench.log,ETTm2.csv,ETTm2_sl96_pl336_FairBench,96,336,256,512,2,64,0.0004,3,4,3,9,0.36344659328460693,0.38011449575424194
ETTh1_sl512_pl96_Ablation.log,ETTh1.csv,ETTh1_sl512_pl96_Ablation,512,96,256,512,2,64,0.0006,3,1,3,11,0.39173972606658936,0.4177702069282532
ETTm2_sl336_pl96_Ablation.log,ETTm2.csv,ETTm2_sl336_pl96_Ablation,336,96,512,1024,2,64,0.0004,3,4,5,6,0.17040880024433136,0.25485435128211975
ETTh2_sl96_pl192_FairBench.log,ETTh2.csv,ETTh2_sl96_pl192_FairBench,96,192,256,512,2,64,0.0006,3,1,3,8,0.40365421772003174,0.40396854281425476
ETTm1_sl96_pl336_FairBench.log,ETTm1.csv,ETTm1_sl96_pl336_FairBench,96,336,256,512,2,64,0.0004,3,4,3,8,0.4097692668437958,0.4079832136631012
ETTh1_sl96_pl192_FairBench.log,ETTh1.csv,ETTh1_sl96_pl192_FairBench,96,192,256,512,2,64,0.0006,3,1,3,6,0.44196048378944397,0.4368305206298828
ETTm1_sl720_pl96_Ablation.log,ETTm1.csv,ETTm1_sl720_pl96_Ablation,720,96,512,1024,2,64,0.0004,3,4,5,16,0.30337584018707275,0.3515992760658264
ETTm2_sl336_pl192_MainSOTA.log,ETTm2.csv,ETTm2_sl336_pl192_MainSOTA,336,192,512,1024,2,64,0.0004,3,4,5,6,0.23689836263656616,0.3036031126976013
ETTm2_sl336_pl96_MainSOTA.log,ETTm2.csv,ETTm2_sl336_pl96_MainSOTA,336,96,512,1024,2,64,0.0004,3,4,5,6,0.17142070829868317,0.256235271692276
ETTh1_sl96_pl720_FairBench.log,ETTh1.csv,ETTh1_sl96_pl720_FairBench,96,720,256,512,2,64,0.0006,3,1,3,6,0.5089153051376343,0.49318093061447144
ETTh2_sl336_pl720_MainSOTA.log,ETTh2.csv,ETTh2_sl336_pl720_MainSOTA,336,720,256,512,2,64,0.0006,3,1,3,8,0.5859231948852539,0.5456660985946655
ETTm1_sl336_pl192_MainSOTA.log,ETTm1.csv,ETTm1_sl336_pl192_MainSOTA,336,192,512,1024,2,64,0.0004,3,4,5,7,0.3433026969432831,0.37455907464027405
ETTh2_sl96_pl720_FairBench.log,ETTh2.csv,ETTh2_sl96_pl720_FairBench,96,720,256,512,2,64,0.0006,3,1,3,8,0.6268428564071655,0.5531371235847473
ETTm1_sl192_pl96_Ablation.log,ETTm1.csv,ETTm1_sl192_pl96_Ablation,192,96,512,1024,2,64,0.0004,3,4,5,7,0.30775806307792664,0.3497700095176697
ETTh1_sl336_pl720_MainSOTA.log,ETTh1.csv,ETTh1_sl336_pl720_MainSOTA,336,720,256,512,2,64,0.0006,3,1,3,6,0.5118099451065063,0.5105093121528625
ETTm1_sl96_pl96_FairBench.log,ETTm1.csv,ETTm1_sl96_pl96_FairBench,96,96,256,512,2,64,0.0004,3,4,3,8,0.3216666281223297,0.3562997281551361
ETTh1_sl96_pl96_FairBench.log,ETTh1.csv,ETTh1_sl96_pl96_FairBench,96,96,256,512,2,64,0.0006,3,1,3,7,0.37979209423065186,0.39662182331085205
ETTm2_sl96_pl720_FairBench.log,ETTm2.csv,ETTm2_sl96_pl720_FairBench,96,720,256,512,2,64,0.0004,3,4,3,7,0.4637036919593811,0.43853917717933655
ETTh1_sl192_pl96_Ablation.log,ETTh1.csv,ETTh1_sl192_pl96_Ablation,192,96,256,512,2,64,0.0006,3,1,3,7,0.3843255341053009,0.4078596234321594
ETTm1_sl336_pl720_MainSOTA.log,ETTm1.csv,ETTm1_sl336_pl720_MainSOTA,336,720,512,1024,2,64,0.0004,3,4,5,6,0.42627811431884766,0.4242282211780548
ETTh1_sl336_pl192_MainSOTA.log,ETTh1.csv,ETTh1_sl336_pl192_MainSOTA,336,192,256,512,2,64,0.0006,3,1,3,10,0.4376222789287567,0.43873172998428345
ETTm1_sl96_pl96_Ablation.log,ETTm1.csv,ETTm1_sl96_pl96_Ablation,96,96,512,1024,2,64,0.0004,3,4,5,6,0.32922258973121643,0.3589003086090088
ETTm1_sl96_pl720_FairBench.log,ETTm1.csv,ETTm1_sl96_pl720_FairBench,96,720,256,512,2,64,0.0004,3,4,3,8,0.46561044454574585,0.43804144859313965
ETTm2_sl336_pl720_MainSOTA.log,ETTm2.csv,ETTm2_sl336_pl720_MainSOTA,336,720,512,1024,2,64,0.0004,3,4,5,9,0.44330963492393494,0.4255324602127075
ETTh2_sl336_pl96_MainSOTA.log,ETTh2.csv,ETTh2_sl336_pl96_MainSOTA,336,96,256,512,2,64,0.0006,3,1,3,6,0.2937420606613159,0.35106316208839417
ETTh1_sl720_pl96_Ablation.log,ETTh1.csv,ETTh1_sl720_pl96_Ablation,720,96,256,512,2,64,0.0006,3,1,3,6,0.40004459023475647,0.42414867877960205
ETTh2_sl336_pl192_MainSOTA.log,ETTh2.csv,ETTh2_sl336_pl192_MainSOTA,336,192,256,512,2,64,0.0006,3,1,3,10,0.3893550932407379,0.4053345024585724
ETTh2_sl192_pl96_Ablation.log,ETTh2.csv,ETTh2_sl192_pl96_Ablation,192,96,256,512,2,64,0.0006,3,1,3,6,0.3002539277076721,0.34582412242889404
ETTm2_sl336_pl336_MainSOTA.log,ETTm2.csv,ETTm2_sl336_pl336_MainSOTA,336,336,512,1024,2,64,0.0004,3,4,5,6,0.29402583837509155,0.3391664922237396
ETTh2_sl96_pl96_FairBench.log,ETTh2.csv,ETTh2_sl96_pl96_FairBench,96,96,256,512,2,64,0.0006,3,1,3,8,0.30417147278785706,0.34693047404289246
ETTh2_sl720_pl96_Ablation.log,ETTh2.csv,ETTh2_sl720_pl96_Ablation,720,96,256,512,2,64,0.0006,3,1,3,6,0.2940228283405304,0.3533788025379181
ETTh1_sl336_pl96_MainSOTA.log,ETTh1.csv,ETTh1_sl336_pl96_MainSOTA,336,96,256,512,2,64,0.0006,3,1,3,8,0.39053887128829956,0.4089381694793701
ETTm1_sl336_pl336_MainSOTA.log,ETTm1.csv,ETTm1_sl336_pl336_MainSOTA,336,336,512,1024,2,64,0.0004,3,4,5,6,0.3793763518333435,0.398190975189209
ETTh1_sl336_pl336_MainSOTA.log,ETTh1.csv,ETTh1_sl336_pl336_MainSOTA,336,336,256,512,2,64,0.0006,3,1,3,6,0.4602271318435669,0.458029568195343
ETTm1_sl336_pl96_MainSOTA.log,ETTm1.csv,ETTm1_sl336_pl96_MainSOTA,336,96,512,1024,2,64,0.0004,3,4,5,10,0.33145132660865784,0.3596688210964203
ETTm2_sl720_pl96_Ablation.log,ETTm2.csv,ETTm2_sl720_pl96_Ablation,720,96,512,1024,2,64,0.0004,3,4,5,10,0.18253114819526672,0.26818379759788513
ETTm2_sl96_pl96_FairBench.log,ETTm2.csv,ETTm2_sl96_pl96_FairBench,96,96,256,512,2,64,0.0004,3,4,3,10,0.17979705333709717,0.2585022747516632
ETTm2_sl192_pl96_Ablation.log,ETTm2.csv,ETTm2_sl192_pl96_Ablation,192,96,512,1024,2,64,0.0004,3,4,5,7,0.17503121495246887,0.2581176161766052
ETTh2_sl336_pl336_MainSOTA.log,ETTh2.csv,ETTh2_sl336_pl336_MainSOTA,336,336,256,512,2,64,0.0006,3,1,3,12,0.4183281660079956,0.4316336214542389
ETTm2_sl96_pl96_Ablation.log,ETTm2.csv,ETTm2_sl96_pl96_Ablation,96,96,512,1024,2,64,0.0004,3,4,5,9,0.1781112402677536,0.25614190101623535
WTH_sl96_pl336_m7_t3.log,WTH.csv,WTH_sl96_pl336_m7_t3,96,336,256,512,2,64,0.0001,7,3,3,10,0.5771710872650146,0.5334123969078064
WTH_sl96_pl720_m7_t3.log,WTH.csv,WTH_sl96_pl720_m7_t3,96,720,256,512,2,64,0.0001,7,3,3,8,0.627142071723938,0.5626124739646912
WTH_sl192_pl192_m7_t3.log,WTH.csv,WTH_sl192_pl192_m7_t3,192,192,256,512,2,64,0.0001,7,3,3,0,Crash/Unfinished,Crash/Unfinished
WTH_sl96_pl96_m7_t3.log,WTH.csv,WTH_sl96_pl96_m7_t3,96,96,256,512,2,64,0.0001,7,3,3,10,0.4839998781681061,0.467970073223114
WTH_sl192_pl96_m7_t3.log,WTH.csv,WTH_sl192_pl96_m7_t3,192,96,256,512,2,64,0.0001,7,3,3,10,0.47453176975250244,0.46732670068740845
WTH_sl96_pl192_m7_t3.log,WTH.csv,WTH_sl96_pl192_m7_t3,96,192,256,512,2,64,0.0001,7,3,3,11,0.5441778898239136,0.5116137862205505
exchange_rate_sl336_pl96_AGGRESSIVE.log,exchange_rate.csv,exchange_rate_sl336_pl96_AGGRESSIVE,336,96,512,512,4,512,0.0002,3,1,2,6,0.11249524354934692,0.24011313915252686
exchange_rate_sl336_pl720_AGGRESSIVE.log,exchange_rate.csv,exchange_rate_sl336_pl720_AGGRESSIVE,336,720,512,512,4,512,0.0002,3,1,2,30,0.6233088970184326,0.5872791409492493
exchange_rate_sl336_pl336_AGGRESSIVE.log,exchange_rate.csv,exchange_rate_sl336_pl336_AGGRESSIVE,336,336,512,512,4,512,0.0002,3,1,2,30,0.31842565536499023,0.4162401854991913
exchange_rate_sl336_pl192_AGGRESSIVE.log,exchange_rate.csv,exchange_rate_sl336_pl192_AGGRESSIVE,336,192,512,512,4,512,0.0002,3,1,2,5,0.2593371868133545,0.37368395924568176
traffic_sl336_pl192_AGGRESSIVE.log,traffic.csv,traffic_sl336_pl192_AGGRESSIVE,336,192,512,2048,4,128,0.0002,5,1,4,30,0.4039134681224823,0.267129123210907
traffic_sl336_pl336_AGGRESSIVE.log,traffic.csv,traffic_sl336_pl336_AGGRESSIVE,336,336,512,2048,4,128,0.0002,5,1,4,30,0.4255537688732147,0.27626821398735046
traffic_sl336_pl96_AGGRESSIVE.log,traffic.csv,traffic_sl336_pl96_AGGRESSIVE,336,96,512,2048,4,128,0.0002,5,1,4,30,0.37271901965141296,0.2538127601146698
traffic_sl336_pl720_AGGRESSIVE.log,traffic.csv,traffic_sl336_pl720_AGGRESSIVE,336,720,512,2048,4,128,0.0002,5,1,4,30,0.4670654535293579,0.2954370379447937
traffic_sl336_pl192_AGGRESSIVE-checkpoint.log,traffic.csv,traffic_sl336_pl192_AGGRESSIVE,336,192,512,2048,4,128,0.0002,5,1,4,30,0.4039134681224823,0.267129123210907
traffic_sl336_pl96_AGGRESSIVE-checkpoint.log,traffic.csv,traffic_sl336_pl96_AGGRESSIVE,336,96,512,2048,4,128,0.0002,5,1,4,30,0.37271901965141296,0.2538127601146698
traffic_sl336_pl720_AGGRESSIVE-checkpoint.log,traffic.csv,traffic_sl336_pl720_AGGRESSIVE,336,720,512,2048,4,128,0.0002,5,1,4,30,0.4670654535293579,0.2954370379447937
326_063447need_traffic_sl336_pl96_heavy.log,traffic.csv,traffic_sl336_pl96_heavy,336,96,512,512,2,2,5e-05,3,1,3,17,Crash/Unfinished,Crash/Unfinished
traffic_sl336_pl96_heavy-checkpoint.log,traffic.csv,traffic_sl336_pl96_heavy,336,96,512,512,2,2,5e-05,3,1,3,4,Crash/Unfinished,Crash/Unfinished
ECL_sl336_pl720.log,ECL.csv,ECL_sl336_pl720,336,720,512,512,2,4,5e-05,3,1,3,5,0.2047177106142044,0.30024081468582153
ECL_sl336_pl336.log,ECL.csv,ECL_sl336_pl336,336,336,512,512,2,4,5e-05,3,1,3,9,0.16564635932445526,0.2650449573993683
ECL_sl336_pl96.log,ECL.csv,ECL_sl336_pl96,336,96,512,512,2,4,5e-05,3,1,3,16,0.1331089735031128,0.23259106278419495
ECL_sl336_pl192.log,ECL.csv,ECL_sl336_pl192,336,192,512,512,2,4,5e-05,3,1,3,6,0.15184517204761505,0.25045323371887207
